Firma;Anrede;Vorname;Nachname;Strasse;PLZ;Ort;Öffnungszeiten;Telefon;Pin Farbe;Temporär;Transporte
Bahnhof Gepäckschalter;;;;Bahnhofstrasse 25;8712;Stäfa;"Mo-Fr 06:45 – 18:45; Sa 08:00 – 12:00, 13:00 – 16:30<br />Kostenloser Transport nur nach vorgängiger Bestellung einer Transportetikette unter <a target=""_blank"" href=""http://velafrica.ch.darwin.sui-inter.net/de/Kontakt/Kontaktformular"">velafrica.ch</a> oder 031 979 70 50";0900 300 300;FE7569;;
Bahnhof Gepäckschalter;;;;Dorfstrasse 103;8706;Meilen;"Mo-Fr 06:45 – 18:45; Sa-So 07:45 – 12:15, 13:15 – 16:45<br />Kostenloser Transport nur nach vorgängiger Bestellung einer Transportetikette unter <a target=""_blank"" href=""http://velafrica.ch.darwin.sui-inter.net/de/Kontakt/Kontaktformular"">velafrica.ch</a> oder 031 979 70 50";0900 300 300;FE7569;;
Bahnhof Gepäckschalter;;;;Lindenstrasse 15;8302;Kloten;"Mo-Fr 06:45 – 18:45<br />Kostenloser Transport nur nach vorgängiger Bestellung einer Transportetikette unter <a target=""_blank"" href=""http://velafrica.ch.darwin.sui-inter.net/de/Kontakt/Kontaktformular"">velafrica.ch</a> oder 031 979 70 50";0900 300 300;FE7569;;
Bahnhof Gepäckschalter;;;;Lagerstrasse 9;3360;Herzogenbuchsee;"Mo-Fr 06:45 – 18:50; Sa 08:10 – 17:50<br />Kostenloser Transport nur nach vorgängiger Bestellung einer Transportetikette unter <a target=""_blank"" href=""http://velafrica.ch.darwin.sui-inter.net/de/Kontakt/Kontaktformular"">velafrica.ch</a> oder 031 979 70 50";0900 300 300;FE7569;;
Bahnhof Gepäckschalter;;;;Bahnhofstrasse 31;3073;Gümligen;"Mo-Fr 06:45 – 19:00, Sa 07:45 – 16:30<br />Kostenloser Transport nur nach vorgängiger Bestellung einer Transportetikette unter <a target=""_blank"" href=""http://velafrica.ch.darwin.sui-inter.net/de/Kontakt/Kontaktformular"">velafrica.ch</a> oder 031 979 70 50";+41 58 327 60 70;FE7569;;
Bahnhof Gepäckschalter;;;;Bahnhofstrasse 17;8708;Männedorf;"Mo-Fr 06:45 – 19:00<br />Kostenloser Transport nur nach vorgängiger Bestellung einer Transportetikette unter <a target=""_blank"" href=""http://velafrica.ch.darwin.sui-inter.net/de/Kontakt/Kontaktformular"">velafrica.ch</a> oder 031 979 70 50";0900 300 300;FE7569;;
Bahnhof Gepäckschalter;;;;Bahnhofplatz 1;6060;Sarnen ZB;"Mo-Fr 06:45 – 19:00; Sa 07:00 – 18:00; So 08:00 – 11:45, 12:45 – 17:30<br />Kostenloser Transport nur nach vorgängiger Bestellung einer Transportetikette unter <a target=""_blank"" href=""http://velafrica.ch.darwin.sui-inter.net/de/Kontakt/Kontaktformular"">velafrica.ch</a> oder 031 979 70 50";0900 300 300;FE7569;;
Bahnhof Gepäckschalter;;;;Bahnhofstrasse;8180;Bülach;"Mo-Fr 06:45 – 19:15; Sa 07:10 – 17:45; So 09:10 – 12:45, 13:15 – 17:45<br />Kostenloser Transport nur nach vorgängiger Bestellung einer Transportetikette unter <a target=""_blank"" href=""http://velafrica.ch.darwin.sui-inter.net/de/Kontakt/Kontaktformular"">velafrica.ch</a> oder 031 979 70 50";0900 300 300;FE7569;;
Bahnhof Gepäckschalter;;;;Bahnhofplatz 1C;8304;Wallisellen;"Mo-Fr 06:45 – 19:15; Sa 07:15 – 12:00, 13:00 – 17:00<br />Kostenloser Transport nur nach vorgängiger Bestellung einer Transportetikette unter <a target=""_blank"" href=""http://velafrica.ch.darwin.sui-inter.net/de/Kontakt/Kontaktformular"">velafrica.ch</a> oder 031 979 70 50";0900 300 300;FE7569;;
Bahnhof Gepäckschalter;;;;Bahnhofstrasse 4;7000;Chur;"Mo-Fr 06:50 – 18:30; Sa-So 06:50 – 17:30<br />Kostenloser Transport nur nach vorgängiger Bestellung einer Transportetikette unter <a target=""_blank"" href=""http://velafrica.ch.darwin.sui-inter.net/de/Kontakt/Kontaktformular"">velafrica.ch</a> oder 031 979 70 50";0900 300 300;FE7569;;
Bahnhof Gepäckschalter;;;;Dornacherstrasse 50;4500;Solothurn;"Mo-Fr 06:45 – 19:30; Sa-So 07:15 – 18:30<br />Kostenloser Transport nur nach vorgängiger Bestellung einer Transportetikette unter <a target=""_blank"" href=""http://velafrica.ch.darwin.sui-inter.net/de/Kontakt/Kontaktformular"">velafrica.ch</a> oder 031 979 70 50";0900 300 300;FE7569;;
Bahnhof Gepäckschalter;;;;Humlikonerstrasse 1;8450;Andelfingen;"Mo-Fr 07:00 – 11:10, 12:50 – 17:10<br />Kostenloser Transport nur nach vorgängiger Bestellung einer Transportetikette unter <a target=""_blank"" href=""http://velafrica.ch.darwin.sui-inter.net/de/Kontakt/Kontaktformular"">velafrica.ch</a> oder 031 979 70 50";0900 300 300;FE7569;;
Bahnhof Gepäckschalter;;;;Bahnhofplatz 1863;9650;Nesslau-Neu St. Johann;"Mo-Fr 07:00 – 11:10, 13:00 – 17:10; Sa-So 07:00 – 11:10, 13:00 – 17:10<br />Kostenloser Transport nur nach vorgängiger Bestellung einer Transportetikette unter <a target=""_blank"" href=""http://velafrica.ch.darwin.sui-inter.net/de/Kontakt/Kontaktformular"">velafrica.ch</a> oder 031 979 70 50";+41 71 375 68 91;FE7569;;
Bahnhof Gepäckschalter;;;;Bahnhof;5330;Bad Zurzach;"Mo-Fr 06:50 – 18:00; Sa 07:50 – 15:00<br />Kostenloser Transport nur nach vorgängiger Bestellung einer Transportetikette unter <a target=""_blank"" href=""http://velafrica.ch.darwin.sui-inter.net/de/Kontakt/Kontaktformular"">velafrica.ch</a> oder 031 979 70 50";0900 300 300;FE7569;;
Bahnhof Gepäckschalter;;;;Untere Bahnhofstrasse 16;3714;Frutigen;"Mo-Fr 06:50 – 18:15; Sa-So 07:15 – 11:40, 13:20 – 16:40<br />Kostenloser Transport nur nach vorgängiger Bestellung einer Transportetikette unter <a target=""_blank"" href=""http://velafrica.ch.darwin.sui-inter.net/de/Kontakt/Kontaktformular"">velafrica.ch</a> oder 031 979 70 50";+41 58 327 39 39;FE7569;;
Bahnhof Gepäckschalter;;;;Bahnhofstrasse 13;3280;Murten;"Mo-Fr 06:50 – 18:30; Sa 07:50 – 18:00; So 07:50 - 12:00, 13:00 - 17:00<br />Kostenloser Transport nur nach vorgängiger Bestellung einer Transportetikette unter <a target=""_blank"" href=""http://velafrica.ch.darwin.sui-inter.net/de/Kontakt/Kontaktformular"">velafrica.ch</a> oder 031 979 70 50";+41 58 327 60 90;FE7569;;
Bahnhof Gepäckschalter;;;;Bahnhofstrasse 16;3250;Lyss;"Mo-Fr 06:50 – 18:40; Sa 07:50 – 17:10; So 07:50 – 11:30, 12:30 – 17:10<br />Kostenloser Transport nur nach vorgängiger Bestellung einer Transportetikette unter <a target=""_blank"" href=""http://velafrica.ch.darwin.sui-inter.net/de/Kontakt/Kontaktformular"">velafrica.ch</a> oder 031 979 70 50";0900 300 300;FE7569;;
Bahnhof Gepäckschalter;;;;Neustrasse;8590;Romanshorn;"Mo-Fr 06:50 – 18:40; Sa-So 07:50 – 11:40, 13:20 - 16:40<br />Kostenloser Transport nur nach vorgängiger Bestellung einer Transportetikette unter <a target=""_blank"" href=""http://velafrica.ch.darwin.sui-inter.net/de/Kontakt/Kontaktformular"">velafrica.ch</a> oder 031 979 70 50";0900 300 300;FE7569;;
Bahnhof Gepäckschalter;;;;Bahnhof ;3944;Unterbäch VS;"Luftseilbahn. Gepäck möglich, aber ohne Öffnungszeiten<br />Kostenloser Transport nur nach vorgängiger Bestellung einer Transportetikette unter <a target=""_blank"" href=""http://velafrica.ch.darwin.sui-inter.net/de/Kontakt/Kontaktformular"">velafrica.ch</a> oder 031 979 70 50";+41 27 934 11 86;FE7569;;
Bahnhof Gepäckschalter;;;;Bahnhofplatz 2;5070;Frick;"Mo-Fr 08:00 - 18:30; Sa 08:00 - 12:15, 13:00-15:30<br />Kostenloser Transport nur nach vorgängiger Bestellung einer Transportetikette unter <a target=""_blank"" href=""http://velafrica.ch.darwin.sui-inter.net/de/Kontakt/Kontaktformular"">velafrica.ch</a> oder 031 979 70 50";0900 300 300;FE7569;;
Bahnhof Gepäckschalter;;;;Bahnhof ;3988;Ulrichen;"Gepäck möglich, aber ohne Öffnungszeiten<br />Kostenloser Transport nur nach vorgängiger Bestellung einer Transportetikette unter <a target=""_blank"" href=""http://velafrica.ch.darwin.sui-inter.net/de/Kontakt/Kontaktformular"">velafrica.ch</a> oder 031 979 70 50";+41 27 927 76 66;FE7569;;
Bahnhof Gepäckschalter;;;;Bahnhofplatz;5400;Brugg AG;"Mo-Fr 06:50 – 19:10; Sa-So 07:50 – 17:40<br />Kostenloser Transport nur nach vorgängiger Bestellung einer Transportetikette unter <a target=""_blank"" href=""http://velafrica.ch.darwin.sui-inter.net/de/Kontakt/Kontaktformular"">velafrica.ch</a> oder 031 979 70 50";0900 300 300;FE7569;;
Bahnhof Gepäckschalter;;;;Bahnhofplatz 2;3775;Lenk im Simmental;"Mo-Fr 06:55 – 18:40; Sa 07:20 – 18:40; So 08:15 – 12:35, 13:30 – 17:40<br />Kostenloser Transport nur nach vorgängiger Bestellung einer Transportetikette unter <a target=""_blank"" href=""http://velafrica.ch.darwin.sui-inter.net/de/Kontakt/Kontaktformular"">velafrica.ch</a> oder 031 979 70 50";+41 33 733 13 55;FE7569;;
Bahnhof Gepäckschalter;;;;Bahnhof ;8497;Fischenthal;"Mo-Fr 07:00 – 10:30, 12:30 – 15:00; Sa 07:00 – 10:30, 12:30 - 15:00<br />Kostenloser Transport nur nach vorgängiger Bestellung einer Transportetikette unter <a target=""_blank"" href=""http://velafrica.ch.darwin.sui-inter.net/de/Kontakt/Kontaktformular"">velafrica.ch</a> oder 031 979 70 50";0900 300 300;FE7569;;
Bahnhof Gepäckschalter;;;;Bahnhofstrasse 26;8355;Aadorf;"Mo-Fr 07:00 – 10:55, 13:30 – 17:00<br />Kostenloser Transport nur nach vorgängiger Bestellung einer Transportetikette unter <a target=""_blank"" href=""http://velafrica.ch.darwin.sui-inter.net/de/Kontakt/Kontaktformular"">velafrica.ch</a> oder 031 979 70 50";0900 300 300;FE7569;;
Bahnhof Gepäckschalter;;;;General Guisanstrasse 7;3303;Jegenstorf;"Mo-Fr 07:00 – 11:30, 13:00 – 16:40; Sa 07:00 – 13:20<br />Kostenloser Transport nur nach vorgängiger Bestellung einer Transportetikette unter <a target=""_blank"" href=""http://velafrica.ch.darwin.sui-inter.net/de/Kontakt/Kontaktformular"">velafrica.ch</a> oder 031 979 70 50";+41 31 761 02 05;FE7569;;
Bahnhof Gepäckschalter;;;;Bahnhofplatz 10;8153;Rümlang;"Mo-Fr 07:00 – 11:45, 13:00 – 17:45<br />Kostenloser Transport nur nach vorgängiger Bestellung einer Transportetikette unter <a target=""_blank"" href=""http://velafrica.ch.darwin.sui-inter.net/de/Kontakt/Kontaktformular"">velafrica.ch</a> oder 031 979 70 50";0900 300 300;FE7569;;
Bahnhof Gepäckschalter;;;;Dorfplatz 4;8126;Zumikon;"Mo-Fr 08:00 – 12:00, 14:00 – 18:00<br />Kostenloser Transport nur nach vorgängiger Bestellung einer Transportetikette unter <a target=""_blank"" href=""http://velafrica.ch.darwin.sui-inter.net/de/Kontakt/Kontaktformular"">velafrica.ch</a> oder 031 979 70 50";+41 43 288 11 55;FE7569;;
Bahnhof Gepäckschalter;;;;Bahnhofstrasse 1;6415;Arth-Goldau;"Mo-Fr 07:30 – 12:00, 13:00 – 18:00; Sa-So 07:30 – 12:00, 13:00 – 16:15<br />Kostenloser Transport nur nach vorgängiger Bestellung einer Transportetikette unter <a target=""_blank"" href=""http://velafrica.ch.darwin.sui-inter.net/de/Kontakt/Kontaktformular"">velafrica.ch</a> oder 031 979 70 50";0900 300 300;FE7569;;
Bahnhof Gepäckschalter;;;;Forchstrasse 191;8125;Zollikerberg;"Mo-Fr 07:00 – 12:00, 14:00 – 18:00, Sa 08:00 – 12:00<br />Kostenloser Transport nur nach vorgängiger Bestellung einer Transportetikette unter <a target=""_blank"" href=""http://velafrica.ch.darwin.sui-inter.net/de/Kontakt/Kontaktformular"">velafrica.ch</a> oder 031 979 70 50";+41 43 288 11 44;FE7569;;
Bahnhof Gepäckschalter;;;;Bahnhof ;8704;Herrliberg-Feldmeilen;"Mo-Fr 07:00 – 12:00, 14:00 – 18:00<br />Kostenloser Transport nur nach vorgängiger Bestellung einer Transportetikette unter <a target=""_blank"" href=""http://velafrica.ch.darwin.sui-inter.net/de/Kontakt/Kontaktformular"">velafrica.ch</a> oder 031 979 70 50";0900 300 300;FE7569;;
Bahnhof Gepäckschalter;;;;Bahnhofstrasse 8;5300;Turgi;"Mo-Fr 07:00 – 18:00; Sa 07:00 – 14:00<br />Kostenloser Transport nur nach vorgängiger Bestellung einer Transportetikette unter <a target=""_blank"" href=""http://velafrica.ch.darwin.sui-inter.net/de/Kontakt/Kontaktformular"">velafrica.ch</a> oder 031 979 70 50";0900 300 300;FE7569;;
Bahnhof Gepäckschalter;;;;Bahnhofplatz 1;5312;Döttingen;"Mo-Fr 07:00 – 18:00; Sa 08:00 – 15:00<br />Kostenloser Transport nur nach vorgängiger Bestellung einer Transportetikette unter <a target=""_blank"" href=""http://velafrica.ch.darwin.sui-inter.net/de/Kontakt/Kontaktformular"">velafrica.ch</a> oder 031 979 70 50";0900 300 300;FE7569;;
Bahnhof Gepäckschalter;;;;Bahnhofplatz 5;9500;Wil SG;"Mo-Fr 07:00 – 18:00; Sa-So 08:00 – 17:00<br />Kostenloser Transport nur nach vorgängiger Bestellung einer Transportetikette unter <a target=""_blank"" href=""http://velafrica.ch.darwin.sui-inter.net/de/Kontakt/Kontaktformular"">velafrica.ch</a> oder 031 979 70 50";0900 300 300;FE7569;;
Bahnhof Gepäckschalter;;;;Bahnhofstrasse 17;8956;Killwangen-Spreitenbach;"Mo-Fr 07:00 – 18:15<br />Kostenloser Transport nur nach vorgängiger Bestellung einer Transportetikette unter <a target=""_blank"" href=""http://velafrica.ch.darwin.sui-inter.net/de/Kontakt/Kontaktformular"">velafrica.ch</a> oder 031 979 70 50";0800 401 401;FE7569;;
Bahnhof Gepäckschalter;;;;Bahnhofstrasse 44;4950;Huttwil;"Mo-Fr 07:00 – 18:30; Sa 07:00 – 11:30, 12:30 – 16:00<br />Kostenloser Transport nur nach vorgängiger Bestellung einer Transportetikette unter <a target=""_blank"" href=""http://velafrica.ch.darwin.sui-inter.net/de/Kontakt/Kontaktformular"">velafrica.ch</a> oder 031 979 70 50";+41 58 327 54 10;FE7569;;
Bahnhof Gepäckschalter;;;;Bahnhofplatz;3900;Brig;"Mo-Fr 07:00 – 18:30; Sa 07:00 – 18:00; So 08:00 – 12:00, 13:30 – 18:00<br />Kostenloser Transport nur nach vorgängiger Bestellung einer Transportetikette unter <a target=""_blank"" href=""http://velafrica.ch.darwin.sui-inter.net/de/Kontakt/Kontaktformular"">velafrica.ch</a> oder 031 979 70 50";0900 300 300;FE7569;;
Bahnhof Gepäckschalter;;;;Bahnhofstrasse 21;8800;Thalwil;"Mo-Fr 07:00 – 18:30; Sa 07:00 – 18:00; So 08:00 – 18:00<br />Kostenloser Transport nur nach vorgängiger Bestellung einer Transportetikette unter <a target=""_blank"" href=""http://velafrica.ch.darwin.sui-inter.net/de/Kontakt/Kontaktformular"">velafrica.ch</a> oder 031 979 70 50";0900 300 300;FE7569;;
Bahnhof Gepäckschalter;;;;Bahnhofstrasse 16;9435;Heerbrugg;"Mo-Fr 07:00 – 17:00; Sa 07:15 – 17:00; So 08:15 – 11:45, 12:50 – 17:00<br />Kostenloser Transport nur nach vorgängiger Bestellung einer Transportetikette unter <a target=""_blank"" href=""http://velafrica.ch.darwin.sui-inter.net/de/Kontakt/Kontaktformular"">velafrica.ch</a> oder 031 979 70 50";0900 300 300;FE7569;;
Bahnhof Gepäckschalter;;;;Bahnhofstrasse 4;8820;Wädenswil;"Mo-Fr 07:00 – 18:30; Sa 07:15 – 18:00; So 08:00 – 18:00<br />Kostenloser Transport nur nach vorgängiger Bestellung einer Transportetikette unter <a target=""_blank"" href=""http://velafrica.ch.darwin.sui-inter.net/de/Kontakt/Kontaktformular"">velafrica.ch</a> oder 031 979 70 50";0900 300 300;FE7569;;
Bahnhof Gepäckschalter;;;;Bahnhof 1;6343;Rotkreuz;"Mo-Fr 07:00 – 18:30; Sa 07:30 – 12:00, 13:00 – 16:00<br />Kostenloser Transport nur nach vorgängiger Bestellung einer Transportetikette unter <a target=""_blank"" href=""http://velafrica.ch.darwin.sui-inter.net/de/Kontakt/Kontaktformular"">velafrica.ch</a> oder 031 979 70 50";0900 300 300;FE7569;;
Bahnhof Gepäckschalter;;;;Bahnhofplatz 4;3110;Münsingen;"Mo-Fr 07:00 – 18:30; Sa 07:30 – 16:30<br />Kostenloser Transport nur nach vorgängiger Bestellung einer Transportetikette unter <a target=""_blank"" href=""http://velafrica.ch.darwin.sui-inter.net/de/Kontakt/Kontaktformular"">velafrica.ch</a> oder 031 979 70 50";0900 300 300;FE7569;;
Bahnhof Gepäckschalter;;;;Bahnhofstrasse;3454;Sumiswald-Grünen;"Mo-Fr 07:00 – 18:30; Sa 08:00 – 12:00, 13:00 – 17:00; So 08:00 – 14:10<br />Kostenloser Transport nur nach vorgängiger Bestellung einer Transportetikette unter <a target=""_blank"" href=""http://velafrica.ch.darwin.sui-inter.net/de/Kontakt/Kontaktformular"">velafrica.ch</a> oder 031 979 70 50";0900 300 300;FE7569;;
Bahnhof Gepäckschalter;;;;Bahnhof 317;8730;Uznach;"Mo-Fr 07:00 – 18:30; Sa 08:00 – 11:30, 12:30 - 16:30<br />Kostenloser Transport nur nach vorgängiger Bestellung einer Transportetikette unter <a target=""_blank"" href=""http://velafrica.ch.darwin.sui-inter.net/de/Kontakt/Kontaktformular"">velafrica.ch</a> oder 031 979 70 50";0900 300 300;FE7569;;
Bahnhof Gepäckschalter;;;;Hauptbahnhof;9400;Rorschach;"Mo-Fr 07:00 – 18:30; Sa 08:10 – 11:30, 13:10 – 17:30<br />Kostenloser Transport nur nach vorgängiger Bestellung einer Transportetikette unter <a target=""_blank"" href=""http://velafrica.ch.darwin.sui-inter.net/de/Kontakt/Kontaktformular"">velafrica.ch</a> oder 031 979 70 50";0900 300 300;FE7569;;
Bahnhof Gepäckschalter;;;;Bahnhofstrasse 48;9320;Arbon;"Mo-Fr 07:00 – 18:30; Sa 08:10 – 11:30, 13:10 – 17:30<br />Kostenloser Transport nur nach vorgängiger Bestellung einer Transportetikette unter <a target=""_blank"" href=""http://velafrica.ch.darwin.sui-inter.net/de/Kontakt/Kontaktformular"">velafrica.ch</a> oder 031 979 70 50";0900 300 300;FE7569;;
Bahnhof Gepäckschalter;;;;Bahnhofstrasse;8700;Küsnacht ZH;"Mo-Fr 07:00 – 18:30; Sa 08:10 – 12:00, 13:00 – 16:50<br />Kostenloser Transport nur nach vorgängiger Bestellung einer Transportetikette unter <a target=""_blank"" href=""http://velafrica.ch.darwin.sui-inter.net/de/Kontakt/Kontaktformular"">velafrica.ch</a> oder 031 979 70 50";0900 300 300;FE7569;;
Bahnhof Gepäckschalter;;;;Bahnhof;7320;Sargans;"Mo-Fr 07:00 – 18:45; Sa 07:00 – 17:45; So 08:15 – 17:45<br />Kostenloser Transport nur nach vorgängiger Bestellung einer Transportetikette unter <a target=""_blank"" href=""http://velafrica.ch.darwin.sui-inter.net/de/Kontakt/Kontaktformular"">velafrica.ch</a> oder 031 979 70 50";0900 300 300;FE7569;;
Bahnhof Gepäckschalter;;;;Bernstrasse 206;3052;Zollikofen;"Mo-Fr 07:00 – 18:45; Sa 08:00 – 12:00, 13:00 – 16:00<br />Kostenloser Transport nur nach vorgängiger Bestellung einer Transportetikette unter <a target=""_blank"" href=""http://velafrica.ch.darwin.sui-inter.net/de/Kontakt/Kontaktformular"">velafrica.ch</a> oder 031 979 70 50";+41 58 327 60 50;FE7569;;
Bahnhof Gepäckschalter;;;;Bahnhof;7430;Thusis;"Mo-Fr 07:00 – 18:45; Sa-So 07:00 – 18:30<br />Kostenloser Transport nur nach vorgängiger Bestellung einer Transportetikette unter <a target=""_blank"" href=""http://velafrica.ch.darwin.sui-inter.net/de/Kontakt/Kontaktformular"">velafrica.ch</a> oder 031 979 70 50";+41 81 288 47 16;FE7569;;
Bahnhof Gepäckschalter;;;;Bahnhof ;7302;Landquart;"Mo-Fr 07:00 – 19:00; Sa 07:00 – 17:00; So 07:30 – 11:50, 13:00 – 17:00<br />Kostenloser Transport nur nach vorgängiger Bestellung einer Transportetikette unter <a target=""_blank"" href=""http://velafrica.ch.darwin.sui-inter.net/de/Kontakt/Kontaktformular"">velafrica.ch</a> oder 031 979 70 50";0900 300 300;FE7569;;
Bahnhof Gepäckschalter;;;;Bahnhofplatz 1A;3930;Visp;"Mo-Fr 07:00 – 19:00; Sa 07:00 – 18:00; So 08:00 – 12:00, 13:30 – 18:00<br />Kostenloser Transport nur nach vorgängiger Bestellung einer Transportetikette unter <a target=""_blank"" href=""http://velafrica.ch.darwin.sui-inter.net/de/Kontakt/Kontaktformular"">velafrica.ch</a> oder 031 979 70 50";0900 300 300;FE7569;;
Bahnhof Gepäckschalter;;;;Stauffacherstrasse 1;6020;Emmenbrücke;"Mo-Fr 07:00 – 19:00; Sa 09:00 – 17:00<br />Kostenloser Transport nur nach vorgängiger Bestellung einer Transportetikette unter <a target=""_blank"" href=""http://velafrica.ch.darwin.sui-inter.net/de/Kontakt/Kontaktformular"">velafrica.ch</a> oder 031 979 70 50";0900 300 300;FE7569;;
Bahnhof Gepäckschalter;;;;Altstetterplatz 11;8048;Zürich Altstetten;"Mo-Fr 07:00 – 19:00; Sa-So 07:00 – 18:30<br />Kostenloser Transport nur nach vorgängiger Bestellung einer Transportetikette unter <a target=""_blank"" href=""http://velafrica.ch.darwin.sui-inter.net/de/Kontakt/Kontaktformular"">velafrica.ch</a> oder 031 979 70 50";0900 300 300;FE7569;;
Bahnhof Gepäckschalter;;;;Gutenbergstrasse 1;8027;Zürich Enge;"Mo-Fr 07:00 – 19:00; Sa-So 09:30 – 12:00, 12:30 – 17:30<br />Kostenloser Transport nur nach vorgängiger Bestellung einer Transportetikette unter <a target=""_blank"" href=""http://velafrica.ch.darwin.sui-inter.net/de/Kontakt/Kontaktformular"">velafrica.ch</a> oder 031 979 70 50";0900 300 300;FE7569;;
Bahnhof Gepäckschalter;;;;Bahnhof ;8606;Nänikon-Greifensee;"Mo-Fr 07:00 – 19:00<br />Kostenloser Transport nur nach vorgängiger Bestellung einer Transportetikette unter <a target=""_blank"" href=""http://velafrica.ch.darwin.sui-inter.net/de/Kontakt/Kontaktformular"">velafrica.ch</a> oder 031 979 70 50";0900 300 300;FE7569;;
Bahnhof Gepäckschalter;;;;Bahnhofstrasse 9;6244;Nebikon;"Mo-Fr 07:10 – 11:15, 14:15 – 18:05<br />Kostenloser Transport nur nach vorgängiger Bestellung einer Transportetikette unter <a target=""_blank"" href=""http://velafrica.ch.darwin.sui-inter.net/de/Kontakt/Kontaktformular"">velafrica.ch</a> oder 031 979 70 50";0900 300 300;FE7569;;
Bahnhof Gepäckschalter;;;;Bahnhofstrasse 54;2540;Grenchen Süd;"Mo-Fr 07:10 – 17:45; Sa 08:10 – 16:30 ; So 08:10 – 12:00, 13:10 – 16:30<br />Kostenloser Transport nur nach vorgängiger Bestellung einer Transportetikette unter <a target=""_blank"" href=""http://velafrica.ch.darwin.sui-inter.net/de/Kontakt/Kontaktformular"">velafrica.ch</a> oder 031 979 70 50";0900 300 300;FE7569;;
Bahnhof Gepäckschalter;;;;Bahnhof;9424;Rheineck;"Mo-Fr 08:00 – 11:30, 13:00 – 17:30<br />Kostenloser Transport nur nach vorgängiger Bestellung einer Transportetikette unter <a target=""_blank"" href=""http://velafrica.ch.darwin.sui-inter.net/de/Kontakt/Kontaktformular"">velafrica.ch</a> oder 031 979 70 50";0900 300 300;FE7569;;
Bahnhof Gepäckschalter;;;;Ritterhausstrasse 1;8608;Bubikon;"Mo-Fr 07:15 – 11:45, 13:15 – 17:45<br />Kostenloser Transport nur nach vorgängiger Bestellung einer Transportetikette unter <a target=""_blank"" href=""http://velafrica.ch.darwin.sui-inter.net/de/Kontakt/Kontaktformular"">velafrica.ch</a> oder 031 979 70 50";0900 300 300;FE7569;;
Bahnhof Gepäckschalter;;;;Hauptstrasse;5734;Reinach AG;"Mo-Fr 07:15 – 12:00, 13:00 – 18:00; Sa 08:00 – 12:00, 12:45 – 16:00<br />Kostenloser Transport nur nach vorgängiger Bestellung einer Transportetikette unter <a target=""_blank"" href=""http://velafrica.ch.darwin.sui-inter.net/de/Kontakt/Kontaktformular"">velafrica.ch</a> oder 031 979 70 50";0900 300 300;FE7569;;
Bahnhof Gepäckschalter;;;;Neue Bahnhofstrasse 11;5737;Menziken;"Mo-Fr 07:15 – 12:00, 13:00 – 18:00<br />Kostenloser Transport nur nach vorgängiger Bestellung einer Transportetikette unter <a target=""_blank"" href=""http://velafrica.ch.darwin.sui-inter.net/de/Kontakt/Kontaktformular"">velafrica.ch</a> oder 031 979 70 50";+41 62 832 83 88;FE7569;;
Bahnhof Gepäckschalter;;;;Forchstrasse 140;8132;Egg;"Mo-Fr 08:00 – 12:00, 14:00 – 18:00<br />Kostenloser Transport nur nach vorgängiger Bestellung einer Transportetikette unter <a target=""_blank"" href=""http://velafrica.ch.darwin.sui-inter.net/de/Kontakt/Kontaktformular"">velafrica.ch</a> oder 031 979 70 50";+41 43 288 11 66;FE7569;;
Bahnhof Gepäckschalter;;;;Bahnhofplatz 12;3860;Meiringen;"Mo-Fr 07:15 – 15:45; Sa 08:15 – 15:45; So 08:15 – 12:30, 13:30 – 18:00<br />Kostenloser Transport nur nach vorgängiger Bestellung einer Transportetikette unter <a target=""_blank"" href=""http://velafrica.ch.darwin.sui-inter.net/de/Kontakt/Kontaktformular"">velafrica.ch</a> oder 031 979 70 50";+41 58 668 86 50;FE7569;;
Bahnhof Gepäckschalter;;;;Bellerivestrasse 251;8008;Zürich Tiefenbrunnen;"Mo-Fr 07:15 – 18:30<br />Kostenloser Transport nur nach vorgängiger Bestellung einer Transportetikette unter <a target=""_blank"" href=""http://velafrica.ch.darwin.sui-inter.net/de/Kontakt/Kontaktformular"">velafrica.ch</a> oder 031 979 70 50";0900 300 300;FE7569;;
Bahnhof Gepäckschalter;;;;Bahnhofplatz 3;9470;Buchs SG;"Mo-Fr 07:15 – 18:45; Sa 07:15 – 17:45; So 08:15 – 17:45<br />Kostenloser Transport nur nach vorgängiger Bestellung einer Transportetikette unter <a target=""_blank"" href=""http://velafrica.ch.darwin.sui-inter.net/de/Kontakt/Kontaktformular"">velafrica.ch</a> oder 031 979 70 50";0900 300 300;FE7569;;
Bahnhof Gepäckschalter;;;;Stationsstrasse 54;8833;Samstagern;"Mo-Fr 07:30 – 11:30, 14:00 – 18:00; Sa 07:30 – 13:00<br />Kostenloser Transport nur nach vorgängiger Bestellung einer Transportetikette unter <a target=""_blank"" href=""http://velafrica.ch.darwin.sui-inter.net/de/Kontakt/Kontaktformular"">velafrica.ch</a> oder 031 979 70 50";+41 43 888 19 71;FE7569;;
Bahnhof Gepäckschalter;;;;Burghaldenstrasse 55;8805;Burghalden;"Mo-Fr 07:30 – 11:40, 13:40 – 18:00; Sa 07:30 – 13:00<br />Kostenloser Transport nur nach vorgängiger Bestellung einer Transportetikette unter <a target=""_blank"" href=""http://velafrica.ch.darwin.sui-inter.net/de/Kontakt/Kontaktformular"">velafrica.ch</a> oder 031 979 70 50";+41 43 888 19 96;FE7569;;
